sigla_uf,id_municipio,situacao,ano_atendimento,concessionaria,tecnologia,capacidade_backhaul,capacidade_ocupada,capacidade_disponivel
SP,3519907,Atendido,2010,TELESP,Rádio + Fibra + SDH-NG,8,0,8
SP,3520202,Atendido,2010,TELESP,Fibra + SDH-NG,8,0,8
SP,3520608,Atendido,2008,TELESP,Fibra + SDH-NG,8,0,8
SP,3520707,Atendido,2009,TELESP,Rádio + Fibra + SDH-NG,8,0,8
SP,3520806,Atendido,2008,TELESP,Fibra + SDH-NG,8,0,8
SP,3521150,Atendido,2008,TELESP,Fibra + SDH-NG,8,0,8
SP,3521200,Atendido,2010,TELESP,Rádio + Fibra + SDH-NG,8,0,8
SP,3521507,Atendido,2008,TELESP,Fibra + SDH-NG,8,0,8
SP,3522000,Atendido,2008,TELESP,Fibra + SDH-NG,8,0,8
SP,3522158,Atendido,2009,TELESP,Rádio + Fibra + SDH-NG,8,0,8
SP,3522653,Atendido,2009,TELESP,Rádio + Fibra + SDH-NG,8,0,8
SP,3522802,Atendido,2008,TELESP,Rádio + SDH-NG,8,0,8
SP,3523008,Atendido,2009,TELESP,Fibra + SDH-NG,8,0,8
SP,3523701,Atendido,2010,TELESP,Rádio + Fibra + SDH-NG,8,0,8
SP,3523800,Atendido,2008,TELESP,Fibra + SDH-NG,8,0,8
SP,3524204,Atendido,2008,TELESP,Fibra + SDH-NG,8,0,8
SP,3524501,Atendido,2008,TELESP,Fibra + SDH-NG,8,0,8
SP,3524907,Atendido,2010,TELESP,Rádio + Fibra + SDH-NG,8,0,8
SP,3525409,Atendido,2010,TELESP,Fibra + SDH-NG,8,0,8
SP,3525607,Atendido,2008,TELESP,Fibra + SDH-NG,8,0,8
SP,3525805,Atendido,2009,TELESP,Fibra + SDH-NG,8,0,8
SP,3525854,Atendido,2008,TELESP,Fibra + SDH-NG,8,0,8
SP,3526308,Atendido,2010,TELESP,Rádio + Fibra + SDH-NG,8,0,8
SP,3526506,Atendido,2008,TELESP,Fibra + SDH-NG,8,0,8
SP,3526605,Atendido,2008,TELESP,Fibra + SDH-NG,8,0,8
SP,3527256,Atendido,2009,TELESP,Fibra + SDH-NG,8,0,8
SP,3527504,Atendido,2009,TELESP,Rádio + Fibra + SDH-NG,8,0,8
SP,3527603,Atendido,2008,TELESP,Fibra + SDH-NG,8,0,8
SP,3527702,Atendido,2008,TELESP,Fibra + SDH-NG,8,0,8
SP,3527801,Atendido,2009,TELESP,Rádio + Fibra + SDH-NG,8,0,8
SP,3527900,Atendido,2009,TELESP,Rádio + Fibra + SDH-NG,8,0,8
SP,3528205,Atendido,2008,TELESP,Fibra + SDH-NG,8,0,8
SP,3528304,Atendido,2008,TELESP,Fibra + SDH-NG,8,0,8
SP,3528601,Atendido,2008,TELESP,Fibra + SDH-NG,8,0,8
SP,3528700,Atendido,2009,TELESP,Rádio + Fibra + SDH-NG,8,0,8
SP,3528858,Atendido,2008,TELESP,Fibra + SDH-NG,8,0,8
SP,3528908,Atendido,2008,TELESP,Fibra + SDH-NG,8,0,8
SP,3529104,Atendido,2009,TELESP,Fibra + SDH-NG,8,0,8
SP,3529500,Atendido,2009,TELESP,Rádio + Fibra + SDH-NG,8,0,8
SP,3529609,Atendido,2008,TELESP,Fibra + SDH-NG,8,0,8
SP,3529658,Atendido,2009,TELESP,Rádio + Fibra + SDH-NG,8,0,8
SP,3530003,Atendido,2009,TELESP,Rádio + Fibra + SDH-NG,8,0,8
SP,3530409,Atendido,2009,TELESP,Fibra + SDH-NG,8,0,8
SP,3530904,Atendido,2008,TELESP,Fibra + SDH-NG,8,0,8
SP,3531001,Atendido,2009,TELESP,Rádio + Fibra + SDH-NG,8,0,8
SP,3531605,Atendido,2008,TELESP,Fibra + SDH-NG,8,0,8
SP,3531704,Atendido,2009,TELESP,Rádio + Fibra + SDH-NG,8,0,8
SP,3532058,Atendido,2008,TELESP,Rádio + Fibra + SDH-NG,8,0,8
SP,3532108,Atendido,2008,TELESP,Fibra + SDH-NG,8,0,8
SP,3532157,Atendido,2010,TELESP,Rádio + Fibra + SDH-NG,8,0,8
SP,3532207,Atendido,2009,TELESP,Rádio + Fibra + SDH-NG,8,0,8
SP,3532306,Atendido,2010,TELESP,Rádio + Fibra + SDH-NG,8,0,8
SP,3532504,Atendido,2008,TELESP,Fibra + SDH-NG,8,0,8
SP,3532702,Atendido,2008,TELESP,Fibra + SDH-NG,8,0,8
SP,3532801,Atendido,2008,TELESP,Fibra + SDH-NG,8,0,8
SP,3532827,Atendido,2009,TELESP,Rádio + Fibra + SDH-NG,8,0,8
SP,3532843,Atendido,2009,TELESP,Rádio + Fibra + SDH-NG,8,0,8
SP,3532868,Atendido,2009,TELESP,Rádio + Fibra + SDH-NG,8,0,8
SP,3532900,Atendido,2008,TELESP,Fibra + SDH-NG,8,0,8
SP,3533106,Atendido,2009,TELESP,Fibra + SDH-NG,8,0,8
SP,3533205,Atendido,2009,TELESP,Rádio + Fibra + SDH-NG,8,0,8
SP,3533254,Atendido,2009,TELESP,Rádio + Fibra + SDH-NG,8,0,8
SP,3533304,Atendido,2008,TELESP,Fibra + SDH-NG,8,0,8
SP,3533700,Atendido,2008,TELESP,Fibra + SDH-NG,8,0,8
SP,3533809,Atendido,2008,TELESP,Fibra + SDH-NG,8,0,8
SP,3534005,Atendido,2009,TELESP,Rádio + Fibra + SDH-NG,8,0,8
SP,3534104,Atendido,2008,TELESP,Fibra + SDH-NG,8,0,8
SP,3534203,Atendido,2009,TELESP,Rádio + Fibra + SDH-NG,8,0,8
SP,3534500,Atendido,2009,TELESP,Rádio + Fibra + SDH-NG,8,0,8
SP,3534757,Atendido,2009,TELESP,Rádio + Fibra + SDH-NG,8,0,8
SP,3534807,Atendido,2008,TELESP,Fibra + SDH-NG,8,0,8
SP,3535101,Atendido,2008,TELESP,Fibra + SDH-NG,8,0,8
SP,3535705,Atendido,2008,TELESP,Fibra + SDH-NG,8,0,8
SP,3535903,Atendido,2009,TELESP,Rádio + Fibra + SDH-NG,8,0,8
SP,3536109,Atendido,2010,TELESP,Rádio + Fibra + SDH-NG,8,0,8
SP,3536257,Atendido,2008,TELESP,Fibra + SDH-NG,8,0,8
SP,3536307,Atendido,2010,TELESP,Rádio + Fibra + SDH-NG,8,0,8
SP,3536406,Atendido,2008,TELESP,Fibra + SDH-NG,8,0,8
SP,3536570,Atendido,2009,TELESP,Rádio + Fibra + SDH-NG,8,0,8
SP,3536604,Atendido,2010,TELESP,Rádio + Fibra + SDH-NG,8,0,8
SP,3536802,Atendido,2008,TELESP,Fibra + SDH-NG,8,0,8
SP,3536901,Atendido,2008,TELESP,Fibra + SDH-NG,8,0,8
SP,3537008,Atendido,2009,TELESP,Fibra + SDH-NG,8,0,8
SP,3537156,Atendido,2009,TELESP,Fibra + SDH-NG,8,0,8
SP,3537503,Atendido,2008,TELESP,Fibra + SDH-NG,8,0,8
SP,3537701,Atendido,2008,TELESP,Fibra + SDH-NG,8,0,8
SP,3538303,Atendido,2008,TELESP,Fibra + SDH-NG,8,0,8
SP,3539608,Atendido,2009,TELESP,Rádio + Fibra + SDH-NG,8,0,8
SP,3539707,Atendido,2009,TELESP,Rádio + Fibra + SDH-NG,8,0,8
SP,3539905,Atendido,2008,TELESP,Fibra + SDH-NG,8,0,8
SP,3540101,Atendido,2009,TELESP,Fibra + SDH-NG,8,0,8
SP,3540259,Atendido,2009,TELESP,Rádio + Fibra + SDH-NG,8,0,8
SP,3540309,Atendido,2009,TELESP,Rádio + Fibra + SDH-NG,8,0,8
SP,3540408,Atendido,2009,TELESP,Rádio + Fibra + SDH-NG,8,0,8
SP,3540507,Atendido,2010,TELESP,Rádio + Fibra + SDH-NG,8,0,8
SP,3540853,Atendido,2009,TELESP,Rádio + Fibra + SDH-NG,8,0,8
SP,3541059,Atendido,2009,TELESP,Fibra + SDH-NG,8,0,8
SP,3541109,Atendido,2008,TELESP,Fibra + SDH-NG,8,0,8
SP,3541653,Atendido,2010,TELESP,Rádio + Fibra + SDH-NG,8,0,8
SP,3541802,Atendido,2008,TELESP,Fibra + SDH-NG,8,0,8
SP,3542008,Atendido,2009,TELESP,Fibra + SDH-NG,8,0,8
SP,3542305,Atendido,2010,TELESP,Rádio + Fibra + SDH-NG,8,0,8
SP,3542503,Atendido,2008,TELESP,Fibra + SDH-NG,8,0,8
SP,3542701,Atendido,2010,TELESP,Rádio + Fibra + SDH-NG,8,0,8
SP,3542800,Atendido,2009,TELESP,Rádio + Fibra + SDH-NG,8,0,8
SP,3543006,Atendido,2009,TELESP,Rádio + Fibra + SDH-NG,16,0,16
SP,3543204,Atendido,2009,TELESP,Rádio + Fibra + SDH-NG,8,0,8
SP,3543238,Atendido,2009,TELESP,Rádio + Fibra + SDH-NG,8,0,8
SP,3543253,Atendido,2009,TELESP,Rádio + Fibra + SDH-NG,8,0,8
SP,3543501,Atendido,2010,TELESP,Rádio + Fibra + SDH-NG,8,0,8
SP,3543600,Atendido,2009,TELESP,Fibra + SDH-NG,8,0,8
SP,3544202,Atendido,2010,TELESP,Rádio + Fibra + SDH-NG,8,0,8
SP,3544400,Atendido,2009,TELESP,Fibra + SDH-NG,8,0,8
SP,3544509,Atendido,2008,TELESP,Fibra + SDH-NG,8,0,8
SP,3544608,Atendido,2009,TELESP,Rádio + Fibra + SDH-NG,8,0,8
SP,3544707,Atendido,2008,TELESP,Fibra + SDH-NG,8,0,8
SP,3544806,Atendido,2009,TELESP,Rádio + Fibra + SDH-NG,8,0,8
SP,3545100,Atendido,2008,TELESP,Fibra + SDH-NG,8,0,8
SP,3545407,Atendido,2008,TELESP,Fibra + SDH-NG,8,0,8
SP,3545506,Atendido,2009,TELESP,Rádio + Fibra + SDH-NG,8,0,8
SP,3545704,Atendido,2009,TELESP,Rádio + Fibra + SDH-NG,8,0,8
SP,3546108,Atendido,2008,TELESP,Fibra + SDH-NG,8,0,8
SP,3546207,Atendido,2008,TELESP,Fibra + SDH-NG,8,0,8
SP,3546504,Atendido,2008,TELESP,Fibra + SDH-NG,8,0,8
SP,3546900,Atendido,2008,TELESP,Fibra + SDH-NG,8,0,8
SP,3547007,Atendido,2009,TELESP,Fibra + SDH-NG,8,0,8
SP,3547106,Atendido,2008,TELESP,Fibra + SDH-NG,8,0,8
SP,3547205,Atendido,2008,TELESP,Fibra + SDH-NG,8,0,8
SP,3547403,Atendido,2008,TELESP,Fibra + SDH-NG,8,0,8
SP,3547650,Atendido,2009,TELESP,Fibra + SDH-NG,8,0,8
SP,3548054,Atendido,2009,TELESP,Rádio + Fibra + SDH-NG,8,0,8
SP,3548302,Atendido,2008,TELESP,Fibra + SDH-NG,8,0,8
SP,3548401,Atendido,2008,TELESP,Fibra + SDH-NG,8,0,8
SP,3549003,Atendido,2009,TELESP,Fibra + SDH-NG,8,0,8
SP,3549201,Atendido,2009,TELESP,Fibra + SDH-NG,8,0,8
SP,3549250,Atendido,2009,TELESP,Rádio + Fibra + SDH-NG,8,0,8
SP,3549300,Atendido,2008,TELESP,Fibra + SDH-NG,8,0,8
SP,3549508,Atendido,2010,TELESP,Rádio + Fibra + SDH-NG,8,0,8
SP,3549607,Atendido,2010,TELESP,Rádio + Fibra + SDH-NG,8,0,8
SP,3550506,Atendido,2009,TELESP,Rádio + Fibra + SDH-NG,8,0,8
SP,3551207,Atendido,2008,TELESP,Fibra + SDH-NG,8,0,8
SP,3551306,Atendido,2008,TELESP,Fibra + SDH-NG,8,0,8
SP,3551405,Atendido,2009,TELESP,Rádio + Fibra + SDH-NG,8,0,8
SP,3552007,Atendido,2010,TELESP,Rádio + Fibra + SDH-NG,8,0,8
SP,3552304,Atendido,2009,TELESP,Rádio + Fibra + SDH-NG,8,0,8
SP,3552551,Atendido,2009,TELESP,Rádio + Fibra + SDH-NG,8,0,8
SP,3552601,Atendido,2009,TELESP,Rádio + Fibra + SDH-NG,8,0,8
SP,3552908,Atendido,2008,TELESP,Fibra + SDH-NG,8,0,8
SP,3553005,Atendido,2010,TELESP,Rádio + Fibra + SDH-NG,8,0,8
SP,3553104,Atendido,2009,TELESP,Rádio + Fibra + SDH-NG,8,0,8
SP,3553203,Atendido,2009,TELESP,Rádio + Fibra + SDH-NG,8,0,8
SP,3553500,Atendido,2010,TELESP,Rádio + Fibra + SDH-NG,8,0,8
SP,3553658,Atendido,2009,TELESP,Rádio + Fibra + SDH-NG,8,0,8
SP,3553856,Atendido,2009,TELESP,Rádio + Fibra + SDH-NG,8,0,8
SP,3553906,Atendido,2009,TELESP,Fibra + SDH-NG,8,0,8
SP,3554201,Atendido,2010,TELESP,Rádio + Fibra + SDH-NG,8,0,8
SP,3554607,Atendido,2010,TELESP,Rádio + Fibra + SDH-NG,8,0,8
SP,3554656,Atendido,2010,TELESP,Rádio + Fibra + SDH-NG,8,0,8
SP,3554755,Atendido,2009,TELESP,Fibra + SDH-NG,8,0,8
SP,3554904,Atendido,2008,TELESP,Fibra + SDH-NG,8,0,8
SP,3554953,Atendido,2008,TELESP,Fibra + SDH-NG,8,0,8
SP,3555208,Atendido,2009,TELESP,Fibra + SDH-NG,8,0,8
SP,3555307,Atendido,2009,TELESP,Rádio + Fibra + SDH-NG,8,0,8
SP,3555356,Atendido,2008,TELESP,Fibra + SDH-NG,8,0,8
SP,3555505,Atendido,2009,TELESP,Rádio + Fibra + SDH-NG,8,0,8
SP,3555703,Atendido,2009,TELESP,Fibra + SDH-NG,8,0,8
SP,3555901,Atendido,2009,TELESP,Rádio + Fibra + SDH-NG,8,0,8
SP,3556107,Atendido,2008,TELESP,Fibra + SDH-NG,8,0,8
SP,3556909,Atendido,2009,TELESP,Rádio + Fibra + SDH-NG,8,0,8
SP,3556958,Atendido,2008,TELESP,Fibra + SDH-NG,8,0,8
SP,3557154,Atendido,2009,TELESP,Fibra + SDH-NG,8,0,8
SC,4212650,Não atendido,,BRASILTELECOM FILIAL/SC,Terrestre Não Informado*,0,0,0
SC,4220000,Não atendido,,BRASILTELECOM FILIAL/SC,Terrestre Não Informado*,0,0,0
RS,4314548,Atendido,2017,BRASILTELECOM FILIAL/RS,Rádio,8,0,8
MS,5006275,Não atendido,,BRASILTELECOM FILIAL/MS,Terrestre Não Informado*,0,0,0
AC,1200252,Atendido,2008,BRASILTELECOM FILIAL/AC,Rádio,8,4,4
AC,1200393,Atendido,2009,BRASILTELECOM FILIAL/AC,Rádio,8,4,4
AM,1300631,Atendido,2013,TELEMAR/AM,Satélite,4,4,0
PA,1502152,Atendido,2011,TELEMAR/PA,Satélite,4,4,0
PA,1504109,Atendido,2009,TELEMAR/PA,Rádio,8,4,4
PA,1506005,Atendido,2014,TELEMAR/PA,Satélite,4,4,0
PA,1506906,Atendido,2009,TELEMAR/PA,Rádio,8,4,4
PA,1507466,Atendido,2009,TELEMAR/PA,Rádio,8,4,4
PA,1507961,Atendido,2009,TELEMAR/PA,Rádio,8,4,4
TO,1700251,Atendido,2008,BRASILTELECOM FILIAL/GO,Rádio,8,4,4
TO,1703073,Atendido,2008,BRASILTELECOM FILIAL/GO,Rádio,8,4,4
TO,1703305,Atendido,2009,BRASILTELECOM FILIAL/GO,Rádio,8,4,4
TO,1703826,Atendido,2008,BRASILTELECOM FILIAL/GO,Rádio,8,4,4
TO,1703883,Atendido,2009,BRASILTELECOM FILIAL/GO,Rádio,8,4,4
TO,1703891,Atendido,2008,BRASILTELECOM FILIAL/GO,Fibra,8,4,4
TO,1704105,Atendido,2010,BRASILTELECOM FILIAL/GO,Rádio,8,4,4
TO,1704600,Atendido,2010,BRASILTELECOM FILIAL/GO,Rádio,8,4,4
TO,1705102,Atendido,2008,BRASILTELECOM FILIAL/GO,Fibra,8,4,4
TO,1706258,Atendido,2008,BRASILTELECOM FILIAL/GO,Fibra,8,4,4
TO,1708304,Atendido,2008,BRASILTELECOM FILIAL/GO,Rádio,8,4,4
TO,1709807,Atendido,2010,BRASILTELECOM FILIAL/GO,Rádio,8,4,4
TO,1711506,Atendido,2009,BRASILTELECOM FILIAL/GO,Fibra,8,4,4
TO,1711803,Atendido,2009,BRASILTELECOM FILIAL/GO,Rádio,8,4,4
TO,1711951,Atendido,2009,BRASILTELECOM FILIAL/GO,Rádio,8,4,4
TO,1712157,Atendido,2008,BRASILTELECOM FILIAL/GO,Rádio,8,4,4
TO,1712405,Atendido,2009,BRASILTELECOM FILIAL/GO,Rádio,8,4,4
TO,1712454,Atendido,2008,BRASILTELECOM FILIAL/GO,Fibra,8,4,4
TO,1713700,Atendido,2010,BRASILTELECOM FILIAL/GO,Rádio,8,4,4
TO,1713957,Atendido,2010,BRASILTELECOM FILIAL/GO,Rádio,8,4,4
TO,1715259,Atendido,2009,BRASILTELECOM FILIAL/GO,Rádio,8,4,4
TO,1715507,Atendido,2008,BRASILTELECOM FILIAL/GO,Fibra,8,4,4
TO,1715705,Atendido,2009,BRASILTELECOM FILIAL/GO,Rádio,8,4,4
TO,1717206,Atendido,2008,BRASILTELECOM FILIAL/GO,Rádio,8,4,4
TO,1718659,Atendido,2008,BRASILTELECOM FILIAL/GO,Rádio,8,4,4
TO,1718758,Atendido,2009,BRASILTELECOM FILIAL/GO,Rádio,8,4,4
TO,1718808,Atendido,2008,BRASILTELECOM FILIAL/GO,Rádio,8,4,4
TO,1718840,Atendido,2009,BRASILTELECOM FILIAL/GO,Rádio,8,4,4
TO,1718899,Atendido,2008,BRASILTELECOM FILIAL/GO,Fibra,8,4,4
TO,1719004,Atendido,2010,BRASILTELECOM FILIAL/GO,Rádio,8,4,4
TO,1720002,Atendido,2010,BRASILTELECOM FILIAL/GO,Rádio,8,4,4
TO,1720101,Atendido,2008,BRASILTELECOM FILIAL/GO,Fibra,8,4,4
TO,1720150,Atendido,2009,BRASILTELECOM FILIAL/GO,Rádio,8,4,4
TO,1720200,Atendido,2008,BRASILTELECOM FILIAL/GO,Rádio,8,4,4
TO,1720853,Atendido,2008,BRASILTELECOM FILIAL/GO,Rádio,8,4,4
TO,1720937,Atendido,2010,BRASILTELECOM FILIAL/GO,Rádio,8,4,4
TO,1721257,Atendido,2008,BRASILTELECOM FILIAL/GO,Fibra,8,4,4
MA,2100501,Atendido,2009,TELEMAR/MA,Fibra,8,4,4
MA,2101350,Atendido,2009,TELEMAR/MA,Rádio,8,4,4
MA,2101806,Atendido,2010,TELEMAR/MA,Fibra,8,4,4
MA,2102150,Atendido,2009,TELEMAR/MA,Rádio,8,4,4
MA,2102374,Atendido,2009,TELEMAR/MA,Rádio,8,4,4
MA,2105351,Atendido,2010,TELEMAR/MA,Rádio,8,4,4
MA,2105450,Atendido,2009,TELEMAR/MA,Rádio,8,4,4
MA,2105609,Atendido,2009,TELEMAR/MA,Rádio,8,4,4
MA,2106359,Atendido,2009,TELEMAR/MA,Rádio,8,4,4
MA,2107308,Atendido,2009,TELEMAR/MA,Rádio,8,4,4
MA,2109056,Atendido,2009,TELEMAR/MA,Fibra,8,4,4
MA,2109403,Atendido,2009,TELEMAR/MA,Rádio,8,4,4
MA,2109700,Atendido,2009,TELEMAR/MA,Rádio,8,4,4
MA,2109759,Atendido,2009,TELEMAR/MA,Rádio,8,4,4
MA,2110906,Atendido,2009,TELEMAR/MA,Fibra,8,4,4
MA,2111250,Atendido,2009,TELEMAR/MA,Fibra,8,4,4
MA,2111631,Atendido,2009,TELEMAR/MA,Rádio,8,4,4
MA,2111953,Atendido,2009,TELEMAR/MA,Rádio,8,4,4
PI,2200053,Atendido,2009,TELEMAR/PI,Rádio,8,4,4
PI,2200251,Atendido,2009,TELEMAR/PI,Rádio,8,4,4
PI,2200459,Atendido,2009,TELEMAR/PI,Rádio,8,4,4
PI,2200954,Atendido,2009,TELEMAR/PI,Rádio,8,4,4
PI,2201051,Atendido,2009,TELEMAR/PI,Rádio,8,4,4
PI,2201556,Atendido,2009,TELEMAR/PI,Rádio,8,4,4
PI,2201739,Atendido,2009,TELEMAR/PI,Rádio,8,4,4
PI,2201770,Atendido,2009,TELEMAR/PI,Rádio,8,4,4
PI,2201919,Atendido,2008,TELEMAR/PI,Rádio,8,4,4
PI,2201988,Atendido,2010,TELEMAR/PI,Rádio,8,4,4
PI,2202026,Atendido,2009,TELEMAR/PI,Rádio,8,4,4
PI,2202059,Atendido,2008,TELEMAR/PI,Rádio,8,4,4
PI,2202075,Atendido,2009,TELEMAR/PI,Rádio,8,4,4
PI,2202091,Atendido,2008,TELEMAR/PI,Rádio,8,4,4
PI,2202109,Atendido,2009,TELEMAR/PI,Rádio,8,4,4
PI,2202117,Atendido,2009,TELEMAR/PI,Rádio,8,4,4
PI,2202133,Atendido,2008,TELEMAR/PI,Fibra,8,4,4
PI,2202174,Atendido,2010,TELEMAR/PI,Rádio,8,4,4
PI,2202251,Atendido,2009,TELEMAR/PI,Rádio,8,4,4
PI,2202455,Atendido,2009,TELEMAR/PI,Rádio,8,4,4
PI,2202539,Atendido,2008,TELEMAR/PI,Rádio,8,4,4
PI,2202554,Atendido,2009,TELEMAR/PI,Rádio,8,4,4
PI,2202729,Atendido,2008,TELEMAR/PI,Rádio,8,4,4
PI,2202737,Atendido,2009,TELEMAR/PI,Rádio,8,4,4
PI,2202851,Atendido,2009,TELEMAR/PI,Rádio,8,4,4
PI,2203255,Atendido,2008,TELEMAR/PI,Rádio,8,4,4
PI,2203271,Atendido,2009,TELEMAR/PI,Rádio,8,4,4
PI,2203354,Atendido,2009,TELEMAR/PI,Rádio,8,4,4
PI,2203420,Atendido,2009,TELEMAR/PI,Rádio,8,4,4
PI,2203750,Atendido,2009,TELEMAR/PI,Rádio,8,4,4
PI,2203859,Atendido,2008,TELEMAR/PI,Rádio,8,4,4
PI,2204105,Atendido,2009,TELEMAR/PI,Rádio,8,4,4
PI,2204352,Atendido,2008,TELEMAR/PI,Fibra,8,4,4
PI,2204550,Atendido,2009,TELEMAR/PI,Rádio,8,4,4
PI,2204600,Atendido,2008,TELEMAR/PI,Rádio,8,4,4
PI,2204907,Atendido,2009,TELEMAR/PI,Rádio,8,4,4
PI,2205151,Atendido,2009,TELEMAR/PI,Rádio,8,4,4
PI,2205276,Atendido,2008,TELEMAR/PI,Rádio,8,4,4
PI,2205359,Atendido,2010,TELEMAR/PI,Rádio,8,4,4
PI,2205458,Atendido,2009,TELEMAR/PI,Rádio,8,4,4
PI,2205516,Atendido,2009,TELEMAR/PI,Rádio,8,4,4
PI,2205524,Atendido,2010,TELEMAR/PI,Rádio,8,4,4
PI,2205532,Atendido,2009,TELEMAR/PI,Rádio,8,4,4
PI,2205540,Atendido,2009,TELEMAR/PI,Fibra,8,4,4
PI,2205557,Atendido,2009,TELEMAR/PI,Rádio,8,4,4
PI,2205565,Atendido,2009,TELEMAR/PI,Rádio,8,4,4
PI,2205573,Atendido,2009,TELEMAR/PI,Rádio,8,4,4
PI,2205581,Atendido,2008,TELEMAR/PI,Fibra,8,4,4
PI,2205599,Atendido,2008,TELEMAR/PI,Rádio,8,4,4
PI,2206050,Atendido,2008,TELEMAR/PI,Rádio,8,4,4
PI,2206308,Atendido,2009,TELEMAR/PI,Rádio,8,4,4
PI,2206357,Atendido,2009,TELEMAR/PI,Rádio,8,4,4
PI,2206670,Atendido,2009,TELEMAR/PI,Rádio,8,4,4
PI,2206696,Atendido,2008,TELEMAR/PI,Rádio,8,4,4
PI,2206720,Atendido,2012,TELEMAR/PI,Rádio,8,4,4
PI,2206753,Atendido,2008,TELEMAR/PI,Rádio,8,4,4
PI,2206951,Atendido,2009,TELEMAR/PI,Rádio,8,4,4
PI,2207108,Atendido,2008,TELEMAR/PI,Fibra,8,4,4
PI,2207306,Atendido,2009,TELEMAR/PI,Rádio,8,4,4
PI,2207553,Atendido,2008,TELEMAR/PI,Rádio,8,4,4
PI,2207751,Atendido,2008,TELEMAR/PI,Fibra,8,4,4
PI,2207777,Atendido,2009,TELEMAR/PI,Rádio,8,4,4
PI,2207793,Atendido,2009,TELEMAR/PI,Rádio,8,4,4
PI,2207850,Atendido,2009,TELEMAR/PI,Rádio,8,4,4
PI,2207934,Atendido,2009,TELEMAR/PI,Rádio,8,4,4
PI,2207959,Atendido,2009,TELEMAR/PI,Rádio,8,4,4
PI,2208551,Atendido,2009,TELEMAR/PI,Rádio,8,4,4
PI,2209153,Atendido,2008,TELEMAR/PI,Rádio,8,4,4
PI,2209450,Atendido,2008,TELEMAR/PI,Rádio,8,4,4
PI,2209500,Atendido,2008,TELEMAR/PI,Rádio,8,4,4
PI,2209559,Atendido,2009,TELEMAR/PI,Rádio,8,4,4
PI,2209658,Atendido,2009,TELEMAR/PI,Rádio,8,4,4
PI,2209757,Atendido,2010,TELEMAR/PI,Rádio,8,4,4
PI,2209807,Atendido,2008,TELEMAR/PI,Rádio,8,4,4
PI,2209872,Atendido,2008,TELEMAR/PI,Rádio,8,4,4
PI,2209955,Atendido,2009,TELEMAR/PI,Rádio,8,4,4
PI,2209971,Atendido,2010,TELEMAR/PI,Rádio,8,4,4
PI,2210102,Atendido,2009,TELEMAR/PI,Rádio,8,4,4
PI,2210359,Atendido,2009,TELEMAR/PI,Rádio,8,4,4
PI,2210375,Atendido,2009,TELEMAR/PI,Rádio,8,4,4
PI,2210383,Atendido,2008,TELEMAR/PI,Rádio,8,4,4
PI,2210631,Atendido,2009,TELEMAR/PI,Rádio,8,4,4
PI,2210938,Atendido,2008,TELEMAR/PI,Fibra,8,4,4
PI,2210953,Atendido,2009,TELEMAR/PI,Rádio,8,4,4
PI,2210979,Atendido,2009,TELEMAR/PI,Rádio,8,4,4
PI,2211357,Atendido,2009,TELEMAR/PI,Rádio,8,4,4
PI,2211605,Atendido,2008,TELEMAR/PI,Fibra,8,4,4
PI,2211704,Atendido,2008,TELEMAR/PI,Rádio,8,4,4
CE,2301406,Atendido,2009,TELEMAR/CE,Rádio,8,4,4
CE,2305704,Atendido,2009,TELEMAR/CE,Rádio,8,4,4
CE,2310407,Atendido,2009,TELEMAR/CE,Rádio,8,4,4
CE,2311231,Atendido,2009,TELEMAR/CE,Rádio,8,4,4
CE,2312502,Atendido,2009,TELEMAR/CE,Rádio,8,4,4
CE,2313252,Atendido,2010,TELEMAR/CE,Rádio,8,4,4
RN,2401503,Atendido,2008,TELEMAR/RN,Rádio,8,4,4
RN,2401651,Atendido,2009,TELEMAR/RN,Rádio,8,4,4
RN,2402808,Atendido,2009,TELEMAR/RN,Rádio,8,4,4
RN,2403707,Atendido,2009,TELEMAR/RN,Rádio,8,4,4
RN,2403756,Atendido,2009,TELEMAR/RN,Rádio,8,4,4
RN,2403806,Atendido,2009,TELEMAR/RN,Rádio,8,4,4
RN,2404101,Atendido,2009,TELEMAR/RN,Rádio,8,4,4
RN,2404606,Atendido,2008,TELEMAR/RN,Rádio,8,4,4
RN,2404804,Atendido,2010,TELEMAR/RN,Rádio,8,4,4
RN,2405009,Atendido,2009,TELEMAR/RN,Rádio,8,4,4
RN,2405207,Atendido,2008,TELEMAR/RN,Rádio,8,4,4
RN,2405504,Atendido,2009,TELEMAR/RN,Rádio,8,4,4
RN,2406155,Atendido,2009,TELEMAR/RN,Rádio,8,4,4
RN,2406403,Atendido,2008,TELEMAR/RN,Rádio,8,4,4
RN,2406908,Atendido,2010,TELEMAR/RN,Rádio,8,4,4
RN,2407609,Atendido,2009,TELEMAR/RN,Rádio,8,4,4
RN,2407906,Atendido,2009,TELEMAR/RN,Rádio,8,4,4
RN,2408953,Atendido,2008,TELEMAR/RN,Rádio,8,4,4
RN,2409332,Atendido,2008,TELEMAR/RN,Fibra,8,4,4
RN,2409605,Atendido,2009,TELEMAR/RN,Rádio,8,4,4
RN,2410256,Atendido,2009,TELEMAR/RN,Rádio,8,4,4
RN,2411106,Atendido,2008,TELEMAR/RN,Rádio,8,4,4
RN,2411429,Atendido,2009,TELEMAR/RN,Rádio,8,4,4
