Municípios;id;Ano;Bloco Educação\Ensino Fundamental\Anos Finais EF\Índice;Bloco Educação\Ensino Fundamental\Anos Iniciais EF\Índice;Bloco Educação\Ensino Fundamental\Índice;Bloco Educação\Ensino Médio\Índice;Bloco Educação\Escolaridade Adulta\Índice;Bloco Educação\Pré Escola\Índice;Bloco Educação\Índice;Bloco Renda\Apropriação da Renda\Índice;Bloco Renda\Geração da Renda\Índice;Bloco Renda\Índice;Bloco Saúde\Condições Gerais de Saúde\Mortes por Causas Evitáveis\Índice;Bloco Saúde\Condições Gerais de Saúde\Índice;Bloco Saúde\Condições Gerais de Saúde\Óbitos por Causas Mal Definidas\Índice;Bloco Saúde\Longevidade\Índice;Bloco Saúde\Saúde Materno Infantil\Consultas Pré Natal\Índice;Bloco Saúde\Saúde Materno Infantil\Mortalidade de Menores de 5 anos\Índice;Bloco Saúde\Saúde Materno Infantil\Índice;Bloco Saúde\Índice;Idese
Tupanciretã;43222020;2010;0.654592;0.694850975711311;0.674721487855656;0.76650444350402;0.4677;0.390277777777778;0.574800927284363;0.592247737422777;0.719715732919332;0.655981735171055;0.586660008873264;0.668827266873432;0.750994524873601;0.818320636075647;0.649798870909405;0.911989997873239;0.780894434391322;0.7560141124468;0.662265591634073
Tupanciretã;43222020;2011;0.645952;0.66217393536;0.65406296768;0.771047394757461;0.473469422494087;0.572948328267477;0.617882028299756;0.625705810381705;0.785219408622283;0.705462609501994;0.558999716682808;0.693404038248954;0.827808359815101;0.820546304994488;0.642488787133418;0.855616803446214;0.749052795289816;0.754334379511086;0.692559672437612
Tupanciretã;43222020;2012;0.645952;0.66217393536;0.65406296768;0.837842149994042;0.481185579973217;0.691542288557214;0.666158246551118;0.637781533340481;0.697722450742043;0.667751992041262;0.542853415534495;0.693899172010538;0.844944928486581;0.828327657424213;0.636938181551086;0.903065766900097;0.770001974225591;0.764076267886781;0.699328835493053
Tupanciretã;43222020;2013;0.59515733376;0.74125306368;0.66820519872;0.845698235931803;0.488165901745867;0.640809443507589;0.660719694976314;0.697669909326836;0.851659042467103;0.774664475896969;0.58533058363296;0.716810457013218;0.848290330393477;0.835166467896392;0.643706683584701;0.887896976663125;0.765801830123913;0.772592918344508;0.735992363072597
Tupanciretã;43222020;2014;0.59515733376;0.74125306368;0.66820519872;0.855694476676723;0.494328728438128;0.783251231527094;0.700369908840486;0.705957942794836;0.806691036549458;0.756324489672147;0.546972291196857;0.70425884762537;0.861545404053883;0.816116727334915;0.688012289005136;0.889856101469173;0.788934195237154;0.769769923399147;0.742154773970593
Tupanciretã;43222020;2015;0.639808;0.78027707425399;0.710042537126995;0.762340554177818;0.501695393982689;0.901502504173623;0.718895247365281;0.687980041579284;0.797280525524495;0.74263028355189;0.579595589194823;0.733549929892344;0.887504270589866;0.8465995325205;0.703128735753558;0.904916716266117;0.804022726009838;0.794724062807561;0.752083197908244
Tupanciretã;43222020;2016;0.639808;0.780277;0.710043;0.723391;0.50897;0.944257;0.721665;0.692841;0.803929;0.748385;0.541905;0.719282;0.896658;0.845503;0.713395;0.924939;0.819167;0.794651;0.754900112
Tupanciretã;43222020;2017;0.67861333333333;0.76342904094379;0.72102118713856;0.73974413136537;0.50691946111163;1.0;0.74192119490389;0.70196117552546;0.7922390731137;0.74710012431958;0.53247040931961;0.69829998383466;0.86412955834972;0.85711225932287;0.72835745996125;0.93693629262257;0.83264687629191;0.79601970648315;0.76168034190221
Tupanciretã;43222020;2018;0.67861333333333;0.76342904094379;0.72102118713856;0.77707732344198;0.51373418134658;1.0;0.75295817298178;0.71471550967652;0.8261841677857;0.77044983873111;0.5391823717901;0.68014989137724;0.82111741096438;0.84539629376987;0.73923917889276;0.92769462291272;0.83346690090274;0.78633769534995;0.76991523568761
Tupanciretã;43222020;2019;0.702954624;0.79680768;0.749881152;0.77324322490142;0.51798440508705;0.95643697752361;0.74938643987802;0.72817544083189;0.79623149761194;0.76220346922192;0.5653565014973;0.68361186779978;0.80186723410226;0.8533163723774;0.74995356551448;0.89254316232352;0.821248363919;0.78605886803206;0.76588292571067
Tupanciretã;43222020;2020;0.702954624;0.79680768;0.749881152;0.73769950315313;0.52333341801021;0.97831139310173;0.74730636656627;0.70059333173255;0.77695957612806;0.73877645393031;0.5952331658171;0.7075826491354;0.81993213245369;0.87515734063847;0.76016266882677;0.89504268864419;0.82760267873548;0.80344755616978;0.76317679222212
Tupanciretã;43222020;2021;0.679210624;0.750488576;0.7148496;0.73548413984693;0.52660127617797;0.96085351915567;0.73444713379514;0.71250285779099;0.91087365199644;0.81168825489371;0.54915055128665;0.68087154181791;0.81259253234916;0.85315219748434;0.75107535908904;0.8926136553538;0.82184450722142;0.78528941550789;0.77714160139891
Tupandi;43222510;2007;0.770624;0.759199000693962;0.764911500346981;0.503915613488329;0.391819606385192;1.0;0.665161680055126;0.713645398448058;0.743220517038591;0.728432957743325;0.706916389726209;0.8203940964897;0.93387180325319;0.826027595222497;0.770501169287924;0.924656117806567;0.847578643547246;0.831333445086481;0.741642694294977
Tupandi;43222510;2008;0.770624;0.759199000693962;0.764911500346981;0.476551189914754;0.405216771204558;0.901098901098901;0.636944590641299;0.657565497268592;0.786575402540082;0.722070449904337;0.727777223176439;0.826244367619982;0.924711512063526;0.810725914467088;0.76122104168166;0.85782867725024;0.80952485946595;0.815498380517674;0.724837807021103
Tupandi;43222510;2009;0.792426666666666;0.818472238723109;0.805449452694888;0.47836004954;0.421493573142727;0.781609195402299;0.621728067694978;0.645519865810582;0.837320102537208;0.741419984173895;0.701101254524496;0.81483069765056;0.928560140776624;0.849949512261039;0.768115506042229;0.865436662634183;0.816776084338206;0.827185431416602;0.730111161095158
Tupandi;43222510;2010;0.792426666666666;0.818472238723109;0.805449452694888;0.505552391799544;0.4372;1.0;0.687050461123608;0.663292537452326;0.928099679228228;0.795696108340277;0.720798115996456;0.820621545525175;0.920444975053893;0.884505127949961;0.790710549069127;0.890260893215777;0.840485721142452;0.848537464872529;0.777094678112138
Tupandi;43222510;2011;0.805568;0.95249685504;0.87903242752;0.486573916168248;0.445846864638236;1.0;0.702863302081621;0.701869092641715;0.933897060166056;0.817883076403886;0.748178242228924;0.833885226453539;0.919592210678154;0.958061379917651;0.820719424460432;0.953754361780037;0.887236893120234;0.893061166497141;0.804602514994216
Tupandi;43222510;2012;0.805568;0.95249685504;0.87903242752;0.473044798785118;0.454757759601979;1.0;0.701708746476774;0.766530211269782;0.981653241712048;0.874091726490915;0.754402574371935;0.8362317082212;0.918060842070464;0.977580212448121;0.835942019488611;0.951561718259048;0.893751868873829;0.90252126318105;0.826107245382913
Tupandi;43222510;2013;0.83035733376;0.86473060352;0.84754396864;0.48342019906903;0.465491597949496;0.987341772151899;0.695949384452606;0.795305545589463;1.0;0.897652772794731;0.706781105748472;0.809375919104923;0.911970732461373;0.964451020043698;0.843825780871096;0.943330569441631;0.893578175156363;0.889135038101661;0.827579065116333
Tupandi;43222510;2014;0.83035733376;0.86473060352;0.84754396864;0.489137005128466;0.469899273678808;0.924731182795699;0.682827857560743;0.841433904843885;1.0;0.920716952421943;0.668444755813125;0.790272385950698;0.912100016088272;0.894148130983607;0.838391801340166;0.931068258712537;0.884730030026351;0.856383515653552;0.819976108545413
Tupandi;43222510;2015;0.843370666666667;0.919460241498959;0.881415454082813;0.457673612407732;0.483865938876044;0.916666666666667;0.684905418008314;0.814056631345924;1.0;0.907028315672962;0.694987566638018;0.805153832000789;0.915320097363559;0.922208803309099;0.843764948467195;0.904571278541519;0.874168113504357;0.867176916271415;0.81970354998423
Tupandi;43222510;2016;0.843371;0.91946;0.881415;0.409516;0.495182;0.905512;0.672906;0.807943;1.0;0.903972;0.701417;0.816794;0.93217;0.924105;0.8449;0.91999;0.882445;0.874448;0.817108643
Tupandi;43222510;2017;0.81429333333333;0.93288958223456;0.87359145778395;0.40652585966331;0.50516078967685;1.0;0.69631952678103;0.80799497513478;0.98737215859784;0.89768356686631;0.76248698307593;0.84240907722477;0.92233117137361;0.96501241741954;0.85212413635585;0.94447968107638;0.89830190871611;0.90190780112014;0.83197029825583
Tupandi;43222510;2018;0.81429333333333;0.93288958223456;0.87359145778395;0.4059045106597;0.51343417587087;1.0;0.69823253607863;0.80945220961642;0.99725623432817;0.9033542219723;0.72840295944202;0.81927831685399;0.91015367426596;0.91026228836528;0.86387828678257;0.99803287058596;0.93095557868426;0.88683206130118;0.82947293978403
Tupandi;43222510;2019;0.869290624;0.921050368;0.895170496;0.39165183780319;0.52374180578458;0.93202885034173;0.68564824748237;0.80294119136884;0.97225003052002;0.88759561094443;0.72404505382641;0.80667829891428;0.88931154400214;0.89292742318311;0.85905731371363;0.99930918248164;0.92918324809764;0.87626299006501;0.8165022828306
Tupandi;43222510;2020;0.869290624;0.921050368;0.895170496;0.41547760896022;0.53142707803478;0.95641267921832;0.69962196555333;0.75742856835077;0.95506554650859;0.85624705742968;0.6837772417386;0.78793722301567;0.89209720429273;0.89521232530149;0.86171579074987;0.99722773766486;0.92947176420737;0.87087377084151;0.80891426460817
Tupandi;43222510;2021;0.798144;0.908686336;0.853415168;0.41662900701896;0.53710386916373;0.93988357091351;0.68675790377405;0.75985507279608;0.92775420124091;0.8438046370185;0.69989383957225;0.79339461248945;0.88689538540664;0.91257745811535;0.85695751232893;0.97945747543635;0.91820749388264;0.87472652149582;0.80176302076279
Tuparendi;43223010;2007;0.666410666666666;0.736845102012492;0.701627884339579;0.909556549741052;0.401531175056592;0.947712418300654;0.740107006859469;0.56705959320796;0.572017436165376;0.569538514686668;0.624365655214468;0.755120260973521;0.885874866732574;0.938159874487861;0.883605678154556;0.932323439619236;0.907964558886896;0.867081564782759;0.725575695442965
Tuparendi;43223010;2008;0.666410666666666;0.736845102012492;0.701627884339579;0.860999627413492;0.414999025469901;0.67741935483871;0.663761473015421;0.612716144514367;0.571387562494945;0.592051853504656;0.648077060318082;0.774253822907045;0.900430585496009;0.943732513618093;0.894616562396354;0.931784429106358;0.913200495751356;0.877062277425498;0.710958534648525
Tuparendi;43223010;2009;0.699712;0.695034759195004;0.697373379597502;0.824613141481164;0.42646094715871;0.69620253164557;0.661162499970737;0.629057188004565;0.580253859141144;0.604655523572854;0.666621143308592;0.779469623024387;0.892318102740181;0.930141676580878;0.868316500310713;0.963906569848468;0.91611153507959;0.875240944894952;0.713686322812848
Tuparendi;43223010;2010;0.699712;0.695034759195004;0.697373379597502;0.789295626771141;0.438;0.841379310344828;0.691512079178368;0.641771497062073;0.59589448353747;0.618832990299771;0.611889466690357;0.754489128575107;0.897088790459857;0.90819925776174;0.853659163117691;0.912894731504116;0.883276947310903;0.848655111215917;0.719666726898019
Tuparendi;43223010;2011;0.679936;0.790312416;0.735124208;0.816895953375786;0.447143131837606;0.931818181818182;0.732745368757894;0.659920177810692;0.621509202574975;0.640714690192833;0.583603314235906;0.749404589168461;0.915205864101016;0.892866432532114;0.842131804974105;0.923977077885164;0.883054441429634;0.841775154376736;0.738411737775821
Tuparendi;43223010;2012;0.679936;0.790312416;0.735124208;0.837202294359699;0.45603127905951;1.0;0.757089445354802;0.707031813480921;0.571349090211524;0.639190451846222;0.534533151854577;0.735959344608498;0.937385537362418;0.896043321273668;0.824264872916699;0.927457743940664;0.875861308428682;0.835954658103616;0.744078185101547
Tuparendi;43223010;2013;0.68061866624;0.917150912;0.79888478912;0.866935344678795;0.463594835086278;1.0;0.782353742221268;0.736669104002038;0.663467492033078;0.700068298017558;0.533523740711731;0.742111874996135;0.950700009280539;0.904953631365807;0.798396389475706;0.959395404992561;0.878895897234133;0.841987134532025;0.77480305825695
