"Código","Unidade Territorial","UF","Referência","Famílias PBF (até Out/2021)","Famílias PBF (a partir de Mar/2023)","Valor repassado às famílias PBF (até Out/2021)","Valor repassado às famílias PBF (a partir de Mar/2023)","Valor do Benefício médio (até Out/2021)","Valor do Benefício médio (a partir de Mar/2023)"
"430070","ANTA GORDA","RS","2020","27","","16512,00","","611,56",""
"430070","ANTA GORDA","RS","2019","20","","34902,00","","1745,10",""
"430070","ANTA GORDA","RS","2016","39","","87092,00","","2233,13",""
"430070","ANTA GORDA","RS","2015","65","","114514","","1761,75",""
"430070","ANTA GORDA","RS","2013","85","","144258","","1697,15",""
"430070","ANTA GORDA","RS","2014","73","","134402","","1841,12",""
"430070","ANTA GORDA","RS","2021","27","","24195","","896,11",""
"430070","ANTA GORDA","RS","2010","115","","120663,00","","1049,24",""
"430070","ANTA GORDA","RS","2017","34","","50914","","1497,47",""
"430080","ANTÔNIO PRADO","RS","2014","157","","294554","","1876,14",""
"430080","ANTÔNIO PRADO","RS","2009","146","","140846,00","","964,70",""
"430080","ANTÔNIO PRADO","RS","2013","146","","229524","","1572,08",""
"430080","ANTÔNIO PRADO","RS","2015","194","","322972","","1664,80",""
"430080","ANTÔNIO PRADO","RS","2016","194","","364769,00","","1880,25",""
"430080","ANTÔNIO PRADO","RS","2017","208","","363321","","1746,74",""
"430080","ANTÔNIO PRADO","RS","2018","237","","434569","","1833,62",""
"430080","ANTÔNIO PRADO","RS","2019","193","","442404,00","","2292,25",""
"430080","ANTÔNIO PRADO","RS","2020","249","","170504,00","","684,76",""
"430080","ANTÔNIO PRADO","RS","2008","153","","136458,00","","891,88",""
"430080","ANTÔNIO PRADO","RS","2021","235","","307114","","1306,87",""
"430080","ANTÔNIO PRADO","RS","2010","184","","176496,00","","959,22",""
"430080","ANTÔNIO PRADO","RS","2007","178","","131469","","738,59",""
"430080","ANTÔNIO PRADO","RS","2011","142","","205419,00","","1446,61",""
"430080","ANTÔNIO PRADO","RS","2012","144","","215954","","1499,68",""
"430085","ARAMBARÉ","RS","2010","259","","283611,00","","1095,02",""
"430085","ARAMBARÉ","RS","2012","248","","363006","","1463,73",""
"430085","ARAMBARÉ","RS","2021","280","","210240","","750,86",""
"430085","ARAMBARÉ","RS","2011","273","","330251,00","","1209,71",""
"430085","ARAMBARÉ","RS","2007","290","","201983","","696,49",""
"430085","ARAMBARÉ","RS","2014","256","","442245","","1727,52",""
"430085","ARAMBARÉ","RS","2013","279","","405282","","1452,62",""
"430085","ARAMBARÉ","RS","2020","255","","125271,00","","491,26",""
"430085","ARAMBARÉ","RS","2019","228","","433605,00","","1901,78",""
"430085","ARAMBARÉ","RS","2018","246","","431949","","1755,89",""
"430085","ARAMBARÉ","RS","2017","248","","421084","","1697,92",""
"430085","ARAMBARÉ","RS","2016","260","","489899,00","","1884,23",""
"430085","ARAMBARÉ","RS","2015","292","","452147","","1548,45",""
"430085","ARAMBARÉ","RS","2008","232","","222688,00","","959,86",""
"430085","ARAMBARÉ","RS","2009","261","","258780,00","","991,49",""
"430087","ARARICÁ","RS","2008","176","","172084,00","","977,75",""
"430087","ARARICÁ","RS","2012","438","","749162","","1710,42",""
"430087","ARARICÁ","RS","2015","264","","835732","","3165,65",""
"430087","ARARICÁ","RS","2016","197","","562300,00","","2854,31",""
"430087","ARARICÁ","RS","2017","241","","503304","","2088,40",""
"430087","ARARICÁ","RS","2018","256","","570428","","2228,23",""
"430087","ARARICÁ","RS","2019","159","","450460,00","","2833,08",""
"430087","ARARICÁ","RS","2020","215","","185474,00","","862,67",""
"430087","ARARICÁ","RS","2011","411","","572079,00","","1391,92",""
"430087","ARARICÁ","RS","2021","208","","308523","","1483,28",""
"430087","ARARICÁ","RS","2009","383","","267875,00","","699,41",""
