id_empreendimento,data_inicio,data_fim,finalidade,atividade,modalidade,produto,variedade,cesta_safra,zoneamento,unidade_medida,unidade_medida_previsao_producao,consorcio,cedula_mae,id_tipo_cultura
11301000000032,2012-07-01,,comercializacao,agricola,fgpp-financiamento para garantia de precos ao prod,aveia,nao se aplica,safra de inverno (3ª safra),nao zoneado,quilograma,unidade,nao consorciado,0,3
11300580322012,2014-01-01,,comercializacao,agricola,fgpp-financiamento para garantia de precos ao prod,alho,variedade,safra de verao (1ª safra),nao zoneado,quilograma,quilograma,nao consorciado,0,3
11301160000002,2012-07-01,,comercializacao,agricola,fgpp-financiamento para garantia de precos ao prod,banana,nao se aplica,ano civil / ano de exploracao,nao zoneado,tonelada,unidade,nao consorciado,0,3
11304100141012,2012-07-01,,comercializacao,agricola,fgpp-financiamento para garantia de precos ao prod,juta,embonecada (seca e solta),safra de verao (1ª safra),nao zoneado,quilograma,unidade,nao consorciado,0,3
11302080322012,2014-01-01,2017-06-30,comercializacao,agricola,fgpp-financiamento para garantia de precos ao prod,castanha-do-brasil,variedade,safra de verao (1ª safra),nao zoneado,quilograma,quilograma,nao consorciado,0,3
11301420354042,2014-01-01,,comercializacao,agricola,fgpp-financiamento para garantia de precos ao prod,cacau,amendoa - cultivado,fruticultura / olericultura,nao zoneado,quilograma,quilograma,nao consorciado,0,3
11307280280012,2012-07-01,,comercializacao,agricola,fgpp-financiamento para garantia de precos ao prod,uva,suco de,safra de verao (1ª safra),nao zoneado,litro,unidade,nao consorciado,0,3
11305900323002,2012-07-01,2017-06-30,comercializacao,agricola,fgpp-financiamento para garantia de precos ao prod,piacaba (piacava),fibra - extrativo,ano civil / ano de exploracao,nao zoneado,quilograma,unidade,nao consorciado,0,3
11304100000012,2012-07-01,,comercializacao,agricola,fgpp-financiamento para garantia de precos ao prod,juta,nao se aplica,safra de verao (1ª safra),nao zoneado,quilograma,unidade,nao consorciado,0,3
11303880000012,2012-07-01,,comercializacao,agricola,fgpp-financiamento para garantia de precos ao prod,guarana,nao se aplica,safra de verao (1ª safra),nao zoneado,quilograma,unidade,nao consorciado,0,3
11304100144012,2012-07-01,,comercializacao,agricola,fgpp-financiamento para garantia de precos ao prod,juta,enfardada (prensada),safra de verao (1ª safra),nao zoneado,quilograma,unidade,nao consorciado,0,3
21304280125002,2012-07-01,2014-03-31,comercializacao,pecuario(a),fgpp-financiamento para garantia de precos ao prod,leite,doce de,ano civil / ano de exploracao,nao zoneado,quilograma,unidade,nao consorciado,0,3
21300060205002,2012-07-01,,comercializacao,pecuario(a),fgpp-financiamento para garantia de precos ao prod,abelha,mel,ano civil / ano de exploracao,nao zoneado,tonelada,unidade,nao consorciado,0,3
11305080244012,2012-07-01,,comercializacao,agricola,fgpp-financiamento para garantia de precos ao prod,milho,pipoca,safra de verao (1ª safra),nao zoneado,quilograma,unidade,nao consorciado,0,3
11306740322012,2012-07-01,,comercializacao,agricola,fgpp-financiamento para garantia de precos ao prod,sorgo,variedade,safra de verao (1ª safra),nao zoneado,quilograma,unidade,nao consorciado,0,3
11307280289012,2012-07-01,,comercializacao,agricola,fgpp-financiamento para garantia de precos ao prod,uva,vinho,safra de verao (1ª safra),nao zoneado,litro,unidade,nao consorciado,0,3
11301140318002,2012-07-01,2017-01-31,comercializacao,agricola,fgpp-financiamento para garantia de precos ao prod,babacu,amendoa - extrativo,ano civil / ano de exploracao,nao zoneado,quilograma,unidade,nao consorciado,0,3
11306740321012,2012-07-01,,comercializacao,agricola,fgpp-financiamento para garantia de precos ao prod,sorgo,hibrido,safra de verao (1ª safra),nao zoneado,quilograma,unidade,nao consorciado,0,3
11300900300012,2012-07-01,,comercializacao,agricola,fgpp-financiamento para garantia de precos ao prod,arroz,longo fino em casca,safra de verao (1ª safra),nao zoneado,quilograma,unidade,nao consorciado,0,3
11300560136012,2012-07-01,,comercializacao,agricola,fgpp-financiamento para garantia de precos ao prod,algodao,em pluma,safra de verao (1ª safra),nao zoneado,quilograma,unidade,nao consorciado,0,3
11305080322022,2014-01-01,,comercializacao,agricola,fgpp-financiamento para garantia de precos ao prod,milho,variedade,safrinha (2ª safra),nao zoneado,quilograma,quilograma,nao consorciado,0,3
21304280104002,2012-07-01,2014-03-31,comercializacao,pecuario(a),fgpp-financiamento para garantia de precos ao prod,leite,condensado,ano civil / ano de exploracao,nao zoneado,quilograma,unidade,nao consorciado,0,3
11305880000002,2012-07-01,,comercializacao,agricola,fgpp-financiamento para garantia de precos ao prod,pessego,nao se aplica,ano civil / ano de exploracao,nao zoneado,tonelada,tonelada,nao consorciado,0,3
11300040000002,2012-07-01,,comercializacao,agricola,fgpp-financiamento para garantia de precos ao prod,abacaxi,nao se aplica,ano civil / ano de exploracao,nao zoneado,tonelada,unidade,nao consorciado,0,3
11300900301012,2012-07-01,,comercializacao,agricola,fgpp-financiamento para garantia de precos ao prod,arroz,longo fino,safra de verao (1ª safra),nao zoneado,quilograma,unidade,nao consorciado,0,3
11307280326012,2012-07-01,,comercializacao,agricola,fgpp-financiamento para garantia de precos ao prod,uva,destilados de vinho,safra de verao (1ª safra),nao zoneado,litro,unidade,nao consorciado,0,3
11305080000012,2012-07-01,,comercializacao,agricola,fgpp-financiamento para garantia de precos ao prod,milho,nao se aplica,safra de verao (1ª safra),nao zoneado,quilograma,unidade,nao consorciado,0,3
11305080321012,2012-07-01,,comercializacao,agricola,fgpp-financiamento para garantia de precos ao prod,milho,hibrido,safra de verao (1ª safra),nao zoneado,quilograma,unidade,nao consorciado,0,3
21304280139002,2012-07-01,2014-03-31,comercializacao,pecuario(a),fgpp-financiamento para garantia de precos ao prod,leite,em po integral,ano civil / ano de exploracao,nao zoneado,quilograma,unidade,nao consorciado,0,3
11306640063042,2012-07-01,,comercializacao,agricola,fgpp-financiamento para garantia de precos ao prod,seringueira,borracha natural,fruticultura / olericultura,nao zoneado,quilograma,unidade,nao consorciado,0,3
11304920000002,2012-07-01,,comercializacao,agricola,fgpp-financiamento para garantia de precos ao prod,maracuja,nao se aplica,ano civil / ano de exploracao,nao zoneado,tonelada,unidade,nao consorciado,0,3
11300560129012,2012-07-01,,comercializacao,agricola,fgpp-financiamento para garantia de precos ao prod,algodao,em caroco,safra de verao (1ª safra),nao zoneado,quilograma,unidade,nao consorciado,0,3
11303760000012,2012-07-01,,comercializacao,agricola,fgpp-financiamento para garantia de precos ao prod,girassol,nao se aplica,safra de verao (1ª safra),nao zoneado,quilograma,unidade,nao consorciado,0,3
11303560000012,2013-01-31,,comercializacao,agricola,fgpp-financiamento para garantia de precos ao prod,feijao,nao se aplica,safra de verao (1ª safra),nao zoneado,quilograma,unidade,nao consorciado,0,3
11300560000012,2012-07-01,,comercializacao,agricola,fgpp-financiamento para garantia de precos ao prod,algodao,nao se aplica,safra de verao (1ª safra),nao zoneado,quilograma,unidade,nao consorciado,0,3
11300320000002,2012-07-01,,comercializacao,agricola,fgpp-financiamento para garantia de precos ao prod,acerola,nao se aplica,ano civil / ano de exploracao,nao zoneado,tonelada,unidade,nao consorciado,0,3
11300560136022,2014-01-01,,comercializacao,agricola,fgpp-financiamento para garantia de precos ao prod,algodao,em pluma,safrinha (2ª safra),nao zoneado,quilograma,quilograma,nao consorciado,0,3
