id,ano,total_pago,media_pago,total_beneficiarios,media_beneficiarios
4304101,2024,2664926.0,242266.0,4150,377.27272727272725
4304200,2023,11252072.0,1125207.2,17997,1799.7
4304200,2024,12646949.0,1149722.6363636365,20152,1832.0
4304309,2023,514451.0,51445.1,811,81.1
4304309,2024,529088.0,48098.90909090909,845,76.81818181818181
4304358,2023,6010909.0,601090.9,9317,931.7
4304358,2024,7099526.0,645411.4545454546,11022,1002.0
4304408,2023,16587848.0,1658784.8,24641,2464.1
4304408,2024,20670882.0,1879171.0909090908,31153,2832.090909090909
4304507,2023,31571657.0,3157165.7,49125,4912.5
4304507,2024,34610094.0,3146372.1818181816,54136,4921.454545454545
4304606,2023,132473826.0,13247382.6,200705,20070.5
4304606,2024,162983382.0,14816671.090909092,247910,22537.272727272728
4304614,2023,318859.0,31885.9,488,48.8
4304614,2024,372525.0,33865.90909090909,563,51.18181818181818
4304622,2023,639718.0,63971.8,958,95.8
4304622,2024,815621.0,74147.36363636363,1226,111.45454545454545
4304630,2023,23056131.0,2305613.1,34045,3404.5
4304630,2024,28784008.0,2616728.0,42316,3846.909090909091
4304655,2023,1846837.0,184683.7,2815,281.5
4304655,2024,2156756.0,196068.72727272726,3276,297.8181818181818
4304663,2023,18688986.0,1868898.6,28809,2880.9
4304663,2024,22156176.0,2014197.8181818181,34109,3100.818181818182
4304671,2023,1615376.0,161537.6,2477,247.7
4304671,2024,1853553.0,168504.81818181818,2821,256.45454545454544
4304689,2023,5713874.0,571387.4,8785,878.5
4304689,2024,7003303.0,636663.9090909091,10586,962.3636363636364
4304697,2023,256130.0,25613.0,373,37.3
4304697,2024,379357.0,34487.0,581,52.81818181818182
4304705,2023,13790604.0,1379060.4,21172,2117.2
4304705,2024,15643246.0,1422113.2727272727,24438,2221.6363636363635
4304713,2023,3727817.0,372781.7,5721,572.1
4304713,2024,4216944.0,383358.54545454547,6542,594.7272727272727
4304804,2023,1267171.0,126717.1,1873,187.3
4304804,2024,1614835.0,146803.18181818182,2435,221.36363636363637
4304853,2023,216353.0,21635.3,319,31.9
4304853,2024,297477.0,27043.363636363636,454,41.27272727272727
4304903,2023,933052.0,93305.2,1418,141.8
