Municípios;Código;Ano;Bloco Educação\Ensino Fundamental\Anos Finais EF\Índice;Bloco Educação\Ensino Fundamental\Anos Iniciais EF\Índice;Bloco Educação\Ensino Fundamental\Índice;Bloco Educação\Ensino Médio\Índice;Bloco Educação\Escolaridade Adulta\Índice;Bloco Educação\Pré Escola\Índice;Bloco Educação\Índice;Bloco Renda\Apropriação da Renda\Índice;Bloco Renda\Geração da Renda\Índice;Bloco Renda\Índice;Bloco Saúde\Condições Gerais de Saúde\Mortes por Causas Evitáveis\Índice;Bloco Saúde\Condições Gerais de Saúde\Índice;Bloco Saúde\Condições Gerais de Saúde\Óbitos por Causas Mal Definidas\Índice;Bloco Saúde\Longevidade\Índice;Bloco Saúde\Saúde Materno Infantil\Consultas Pré Natal\Índice;Bloco Saúde\Saúde Materno Infantil\Mortalidade de Menores de 5 anos\Índice;Bloco Saúde\Saúde Materno Infantil\Índice;Bloco Saúde\Índice;Idese
Agudo;4300109.0;2014;0.66378666624;0.76487052928;0.71432859776;0.56864967721382;0.4145172038377;0.89016449174333;0.64691499263871;0.76437886541714;0.65574178866358;0.71006032704036;0.62024696993748;0.74318171255007;0.86611645516265;0.87587372794593;0.61243550618662;0.89590003854959;0.7541677723681;0.79107440428803;0.7160165746557
Agudo;4300109.0;2015;0.77213866666667;0.8158399333796;0.79398930002313;0.50200302110876;0.42049197962583;0.90416414529622;0.65516211151348;0.77291418674759;0.62274464156518;0.69782941415638;0.61980567627716;0.74211555585817;0.86442543543917;0.88103972458322;0.5908936518835;0.87243133993739;0.73166249591045;0.78493925878394;0.71264359481794
Agudo;4300109.0;2016;0.77213866666667;0.8158399333796;0.79398930002313;0.46509805520652;0.4259299886706;1.0;0.67125433597506;0.77259504896851;0.60496170211228;0.6887783755404;0.57636121945787;0.72830150227092;0.88024178508397;0.87710950135796;0.62174511712755;0.938279651687;0.78001238440727;0.79514112934538;0.71839128028695
Agudo;4300109.0;2017;0.78333866666667;0.83874500485774;0.8110418357622;0.49804906766554;0.43224392471859;1.0;0.68533370703658;0.78655167663863;0.63766118206425;0.71210642935144;0.55555244356512;0.7233576049207;0.89116276627628;0.88626710404826;0.66107327345112;0.97919974398406;0.82013650871759;0.80992040589552;0.73578684742785
Agudo;4300109.0;2018;0.78333866666667;0.83874500485774;0.8110418357622;0.50435096361163;0.43955473597043;1.0;0.68873688383607;0.79655409246189;0.62186280826821;0.70920845036505;0.59078073044843;0.74237423707981;0.89396774371119;0.91071075814752;0.71895877110354;1.0;0.85947938555177;0.8375214602597;0.74515559815361
Agudo;4300109.0;2019;0.88128;0.807548032;0.844414016;0.51755163681815;0.44571283555603;1.0;0.70191962209355;0.80290018181785;0.62975614345917;0.71632816263851;0.59629511154585;0.73939229681456;0.88248948208327;0.92641175524511;0.76794494548986;0.99037168200638;0.87915831374812;0.8483207886026;0.75552285777822
Agudo;4300109.0;2020;0.88128;0.807548032;0.844414016;0.46722697648991;0.4527589857841;1.0;0.6910999945685;0.74704351353439;0.61324338294286;0.68014344823862;0.61027295088081;0.75205514142805;0.89383733197528;0.91373190803014;0.83532615962785;0.98519571808365;0.91026093885575;0.85868266277131;0.74330870185948
Agudo;4300109.0;2021;0.756096;0.799063424;0.777579712;0.53872408442283;0.45854167181845;1.0;0.69371136706032;0.7748821245412;0.64288976527276;0.70888594490698;0.60062757218278;0.75151387453321;0.90240017688365;0.88450520629603;0.85695854106973;0.95917100862656;0.90806477484815;0.84802795189246;0.75020842128659
Ajuricaba;4300208.0;2013;0.6731616468608;0.79362371712;0.7333926819904;0.81672828245117;0.47036777676101;0.81583190433506;0.70908016138441;0.78692487294846;0.70016283875878;0.74354385585362;0.70029131556057;0.80654333576574;0.9127953559709;0.93905138338445;0.82994533952201;0.9829164929605;0.90643091624126;0.88400854513048;0.7788775207895
Ajuricaba;4300208.0;2014;0.6731616468608;0.79362371712;0.7333926819904;0.96092126150707;0.476410006455;0.88619165305992;0.7642289007531;0.8096690136666;0.67510877477644;0.74238889422152;0.67712544835302;0.79737017199947;0.91761489564592;0.92543763528993;0.82144949893569;0.9269337243334;0.87419161163454;0.86566647297465;0.79076142264976
